message,severity,kind,name,file,line,timestamp
[CHARGING DEBUG] Charging_Location_Form init dokončen,User,,,unknown,-1,2025-10-18T13:55:54.000Z
[Repeated 2 more times] EVH: Plugin::init completed,User,,,unknown,-1,2025-10-18T13:55:54.000Z
EVH: Composer autoloader loaded,User,,,unknown,-1,2025-10-18T13:55:53.000Z
[CPT DEBUG] Konstruktor CPT spuštěn,User,,,unknown,-1,2025-10-18T13:55:53.000Z
[Spot_Zone DEBUG] Registruji Spot_Zone taxonomii,User,,,unknown,-1,2025-10-18T13:55:53.000Z
EVH: Plugin bootstrap start,User,,,unknown,-1,2025-10-18T13:55:53.000Z
EVH: Plugin bootstrap start,User,,,unknown,-1,2025-10-18T13:55:53.000Z
[POI DEBUG] Registruji POI CPT,User,,,unknown,-1,2025-10-18T13:55:53.000Z
[CPT DEBUG] Konstruktor CPT spuštěn,User,,,unknown,-1,2025-10-18T13:55:53.000Z
[POI DEBUG] Registruji POI CPT,User,,,unknown,-1,2025-10-18T13:55:53.000Z
[RV_Spot DEBUG] Registruji RV_Spot CPT,User,,,unknown,-1,2025-10-18T13:55:53.000Z
[Spot_Zone DEBUG] Registruji Spot_Zone taxonomii,User,,,unknown,-1,2025-10-18T13:55:53.000Z
EVH: Composer autoloader loaded,User,,,unknown,-1,2025-10-18T13:55:53.000Z
[RV_Spot DEBUG] Registruji RV_Spot CPT,User,,,unknown,-1,2025-10-18T13:55:53.000Z
Skipped 6 error log messages due to rate limiting,Warning,unknown,,unknown,-1,2025-10-18T13:55:49.000Z
Skipped 17 error log messages due to rate limiting,Warning,unknown,,unknown,-1,2025-10-18T13:55:47.000Z
[CHARGING DEBUG] REST API routes registrovány,User,,,unknown,-1,2025-10-18T13:55:47.000Z
PHP Warning:  Constant WP_DEBUG_LOG already defined in /srv/htdocs/wp-config.php on line 85,Warning,,,/srv/htdocs/wp-config.php,85,2025-10-18T13:55:46.000Z
[POI DEBUG] Registruji POI CPT,User,,,unknown,-1,2025-10-18T13:55:46.000Z
[Spot_Zone DEBUG] Registruji Spot_Zone taxonomii,User,,,unknown,-1,2025-10-18T13:55:46.000Z
EVH: Plugin::init completed,User,,,unknown,-1,2025-10-18T13:55:46.000Z
[Spot_Zone DEBUG] Registruji Spot_Zone taxonomii,User,,,unknown,-1,2025-10-18T13:55:46.000Z
[CHARGING DEBUG] Charging_Location_Form init dokončen,User,,,unknown,-1,2025-10-18T13:55:46.000Z
[POI DEBUG] Registruji POI CPT,User,,,unknown,-1,2025-10-18T13:55:46.000Z
[CPT DEBUG] Registruji charging_location post type,User,,,unknown,-1,2025-10-18T13:55:46.000Z
[CPT DEBUG] Konstruktor CPT spuštěn,User,,,unknown,-1,2025-10-18T13:55:46.000Z
[CPT DEBUG] Konstruktor CPT spuštěn,User,,,unknown,-1,2025-10-18T13:55:46.000Z
EVH: Plugin::init completed,User,,,unknown,-1,2025-10-18T13:55:46.000Z
EVH: Composer autoloader loaded,User,,,unknown,-1,2025-10-18T13:55:46.000Z
EVH: Plugin bootstrap start,User,,,unknown,-1,2025-10-18T13:55:46.000Z
[RV_Spot DEBUG] Registruji RV_Spot CPT,User,,,unknown,-1,2025-10-18T13:55:46.000Z
EVH: Plugin bootstrap start,User,,,unknown,-1,2025-10-18T13:55:46.000Z
EVH: Composer autoloader loaded,User,,,unknown,-1,2025-10-18T13:55:46.000Z
[RV_Spot DEBUG] Registruji RV_Spot CPT,User,,,unknown,-1,2025-10-18T13:55:46.000Z
[CPT DEBUG] charging_location post type zaregistrován,User,,,unknown,-1,2025-10-18T13:55:46.000Z
PHP Warning:  Constant WP_DEBUG_LOG already defined in /srv/htdocs/wp-config.php on line 85,Warning,,,/srv/htdocs/wp-config.php,85,2025-10-18T13:55:44.000Z
PHP Warning:  Constant WP_DEBUG_DISPLAY already defined in /srv/htdocs/wp-config.php on line 86,Warning,,,/srv/htdocs/wp-config.php,86,2025-10-18T13:55:44.000Z
[CPT DEBUG] Registruji charging_location post type,User,,,unknown,-1,2025-10-18T13:55:44.000Z
[RV_Spot DEBUG] Spouštím registraci rv_spot post type,User,,,unknown,-1,2025-10-18T13:55:44.000Z
[POI DEBUG] poi post type zaregistrován,User,,,unknown,-1,2025-10-18T13:55:44.000Z
[CHARGING DEBUG] Charging_Location_Form init,User,,,unknown,-1,2025-10-18T13:55:44.000Z
[CHARGING DEBUG] Charging_Location_Form init dokončen,User,,,unknown,-1,2025-10-18T13:55:44.000Z
EVH: Plugin::init completed,User,,,unknown,-1,2025-10-18T13:55:44.000Z
[POI DEBUG] Spouštím registraci poi post type,User,,,unknown,-1,2025-10-18T13:55:44.000Z
[CPT DEBUG] charging_location post type zaregistrován,User,,,unknown,-1,2025-10-18T13:55:44.000Z
[Spot_Zone DEBUG] spot_zone taxonomie zaregistrována,User,,,unknown,-1,2025-10-18T13:55:44.000Z
[RV_Spot DEBUG] rv_spot post type zaregistrován,User,,,unknown,-1,2025-10-18T13:55:44.000Z
[Spot_Zone DEBUG] Spouštím registraci spot_zone taxonomie,User,,,unknown,-1,2025-10-18T13:55:44.000Z
[Spot_Zone DEBUG] Registruji Spot_Zone taxonomii,User,,,unknown,-1,2025-10-18T13:55:43.000Z
[POI DEBUG] Registruji POI CPT,User,,,unknown,-1,2025-10-18T13:55:43.000Z
[CPT DEBUG] Konstruktor CPT spuštěn,User,,,unknown,-1,2025-10-18T13:55:43.000Z
EVH: Composer autoloader loaded,User,,,unknown,-1,2025-10-18T13:55:43.000Z
EVH: Plugin bootstrap start,User,,,unknown,-1,2025-10-18T13:55:43.000Z
[RV_Spot DEBUG] Registruji RV_Spot CPT,User,,,unknown,-1,2025-10-18T13:55:43.000Z
Skipped 18 error log messages due to rate limiting,Warning,unknown,,unknown,-1,2025-10-18T13:55:28.000Z
[CHARGING DEBUG] AJAX handlery registrovány,User,,,unknown,-1,2025-10-18T13:55:27.000Z
Skipped 22 error log messages due to rate limiting,Warning,unknown,,unknown,-1,2025-10-18T13:55:27.000Z
[CPT DEBUG] charging_location post type zaregistrován,User,,,unknown,-1,2025-10-18T13:55:26.000Z
[CPT DEBUG] charging_location post type zaregistrován,User,,,unknown,-1,2025-10-18T13:55:26.000Z
[CPT DEBUG] Registruji charging_location post type,User,,,unknown,-1,2025-10-18T13:55:26.000Z
[CPT DEBUG] Registruji charging_location post type,User,,,unknown,-1,2025-10-18T13:55:26.000Z
Skipped 33 error log messages due to rate limiting,Warning,unknown,,unknown,-1,2025-10-18T13:55:26.000Z
Skipped 40 error log messages due to rate limiting,Warning,unknown,,unknown,-1,2025-10-18T13:55:25.000Z
[CHARGING DEBUG] Charging_Location_Form init dokončen,User,,,unknown,-1,2025-10-18T13:55:24.000Z
